,Country,Total_Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,Serious Critical,Tot Cases/1M pop,Tot Death/1M pop,Total Tests,Tests/1M Pop,Population
Guinea,Guinea,"30,798",,388 ,,"29,753",,657,49,"2,257",28,"569,940","41,771",
Barbados,Barbados,"26,668",,249 ,,"24,064",,"2,355",,"92,635",865,"448,856","1,559,167",
Togo,Togo,"26,372",,243 ,,"25,937",,192,,"3,082",28,"589,871","68,930",
Tanzania,Tanzania,"26,309",,734 ,,N/A,N/A,N/A,7,423,12,,,
Haiti,Haiti,"25,744",,758 ,,"22,028",,"2,958",,"2,219",65,"132,422","11,413",
Benin,Benin,"24,897",,161 ,,"24,546",,190,5,"1,979",13,"604,310","48,040",
Seychelles,Seychelles,"23,806",,129 ,,"23,294",,383,,"239,922","1,300",,,
Somalia,Somalia,"23,074",,"1,333 ",,"12,817",,"8,924",,"1,396",81,"262,138","15,858",
Bahamas,Bahamas,"22,881",,708 ,,"21,656",,517,4,"57,396","1,776","172,649","433,082",
Mauritius,Mauritius,"22,461",,680 ,,"20,781",,"1,000",,"17,619",533,"358,675","281,356",
Lesotho,Lesotho,"22,448",,664 ,,"13,849",,"7,935",,"10,360",306,"269,476","124,372",
Mayotte,Mayotte,"21,088",,185 ,,"2,964",,"17,939",,"74,708",655,"176,919","626,763",
Burundi,Burundi,"20,610",,38 ,,773,,"19,799",,"1,662",3,"345,742","27,884",
Channel Islands,Channel Islands,"20,327",,107 ,,"18,136",,"2,084",,"115,383",607,"1,092,362","6,200,613",
Timor-Leste,Timor-Leste,"19,829",,122 ,,"19,702",,5,,"14,639",90,"211,166","155,894",
Andorra,Andorra,"19,440",,133 ,,"16,995",,"2,312",4,"251,023","1,717","204,343","2,638,625",
Iceland,Iceland,"19,159",,35 ,,"17,751",,"1,373",5,"55,625",102,"1,281,041","3,719,296",
Congo,Congo,"19,066",,359  ,,"12,421",,"6,286",,"3,337",63,"188,207","32,942",
Mali,Mali,"18,404",,623 ,,"15,454",,"2,327",,873,30,"503,761","23,888",
Curaçao,Curaçao,"17,560",,182 ,,"17,246",,132,3,"106,386","1,103","349,429","2,116,995",
Nicaragua,Nicaragua,"17,328",,210 ,,"4,225",,"12,893",,"2,572",31,,,
